image_name,tags
file_10213,agriculture road water partly_cloudy primary cultivation
file_10214,agriculture road water partly_cloudy primary
file_10215,agriculture road partly_cloudy primary clear cultivation
file_10216,agriculture partly_cloudy primary
file_10217,primary clear
file_10218,agriculture road water primary clear
file_10219,agriculture habitation road partly_cloudy primary clear cultivation
file_1022,agriculture habitation road water primary clear cultivation
file_10220,agriculture habitation road water primary clear
file_10221,agriculture road primary clear
file_10222,agriculture habitation road primary clear
file_10223,primary clear
file_10224,agriculture haze primary clear
file_10225,primary clear
file_10226,primary clear
file_10227,agriculture habitation road water primary clear cultivation
file_10228,artisinal_mine agriculture habitation road water primary clear
file_10229,agriculture partly_cloudy primary clear cultivation
file_1023,primary clear
file_10230,primary clear
file_10231,agriculture road water partly_cloudy primary
file_10232,agriculture habitation road water primary clear
file_10233,agriculture habitation road partly_cloudy primary clear cultivation
file_10234,primary clear
file_10235,primary clear
file_10236,water primary clear
file_10237,agriculture habitation road primary clear
file_10238,agriculture road water primary clear cultivation
file_10239,agriculture habitation road water partly_cloudy primary cultivation
file_1024,primary clear
file_10240,primary clear
file_10241,agriculture road water primary clear
file_10242,agriculture habitation road primary clear
file_10243,primary clear
file_10244,primary clear
file_10245,agriculture habitation road primary clear
file_10246,agriculture habitation road primary clear cultivation
file_10247,agriculture primary clear
file_10248,agriculture habitation road water partly_cloudy primary clear cultivation
file_10249,cloudy water primary clear
file_1025,agriculture partly_cloudy primary clear cultivation
file_10250,primary clear
file_10251,partly_cloudy primary
file_10252,primary clear
file_10253,partly_cloudy primary
file_10254,agriculture habitation road water primary clear cultivation
file_10255,primary clear
file_10256,agriculture habitation road water primary clear cultivation
file_10257,agriculture habitation road partly_cloudy primary clear cultivation
file_10258,agriculture habitation road partly_cloudy primary clear cultivation
file_10259,primary clear
file_1026,agriculture habitation road water primary clear
file_10260,primary clear
file_10261,partly_cloudy primary
file_10262,haze primary
file_10263,agriculture road water partly_cloudy primary clear
file_10264,primary clear
file_10265,agriculture habitation road primary clear cultivation
file_10266,primary clear
file_10267,primary clear
file_10268,agriculture road primary clear cultivation
file_10269,primary clear
file_1027,water primary clear
file_10270,primary clear
file_10271,agriculture habitation road water primary clear cultivation
file_10272,water primary clear
file_10273,primary clear
file_10274,agriculture partly_cloudy primary
file_10275,agriculture habitation road water partly_cloudy primary clear cultivation
file_10276,partly_cloudy primary clear
file_10277,agriculture road water primary clear
file_10278,agriculture water haze primary clear
file_10279,cloudy haze
file_1028,agriculture habitation road water primary clear cultivation
file_10280,agriculture habitation road primary clear
file_10281,primary clear
file_10282,primary clear
file_10283,primary clear
file_10284,primary clear
file_10285,primary clear
file_10286,agriculture road partly_cloudy primary clear
file_10287,partly_cloudy primary clear
file_10288,cloudy haze primary
file_10289,primary clear
file_1029,haze primary clear
file_10290,partly_cloudy primary
file_10291,primary clear
file_10292,agriculture habitation road primary clear cultivation
file_10293,primary clear
file_10294,agriculture road water primary clear
file_10295,agriculture habitation road primary clear cultivation
file_10296,agriculture primary clear cultivation
file_10297,agriculture habitation road primary clear
file_10298,agriculture habitation road water primary clear
file_10299,primary clear
file_103,haze primary
file_1030,agriculture partly_cloudy primary
file_10300,primary clear cultivation
file_10301,agriculture partly_cloudy primary cultivation
file_10302,primary clear
file_10303,primary clear
file_10304,agriculture road partly_cloudy primary clear cultivation
file_10305,haze primary clear
file_10306,agriculture habitation road primary clear
file_10307,primary clear
file_10308,partly_cloudy primary
file_10309,primary clear
file_1031,primary clear
file_10310,primary clear
file_10311,agriculture habitation road partly_cloudy primary clear cultivation
file_10312,agriculture primary clear cultivation
file_10313,primary clear
file_10314,primary clear
file_10315,primary clear
file_10316,agriculture habitation road primary clear cultivation
file_10317,agriculture road water partly_cloudy primary
file_10318,primary clear
file_10319,primary clear
file_1032,agriculture habitation road primary clear cultivation
file_10320,primary clear
file_10321,agriculture habitation road partly_cloudy primary clear
file_10322,agriculture habitation road water partly_cloudy primary clear
file_10323,primary clear
file_10324,partly_cloudy primary
file_10325,cloudy agriculture water partly_cloudy primary
file_10326,partly_cloudy primary
file_10327,primary clear
file_10328,agriculture habitation road water primary clear cultivation
file_10329,cloudy haze primary
file_1033,agriculture road water primary clear cultivation
file_10330,agriculture habitation road primary clear cultivation
file_10331,agriculture habitation road primary clear
file_10332,haze primary
file_10333,agriculture habitation road primary clear cultivation
file_10334,primary clear
file_10335,agriculture haze partly_cloudy primary
file_10336,agriculture habitation road water primary clear cultivation
file_10337,agriculture habitation road primary clear cultivation
file_10338,agriculture habitation road primary clear
file_10339,primary clear
file_1034,agriculture habitation road primary clear cultivation
file_10340,agriculture partly_cloudy primary clear cultivation
file_10341,primary clear
file_10342,primary clear
file_10343,primary clear
file_10344,agriculture road water primary clear
file_10345,primary clear
file_10346,primary clear
file_10347,agriculture habitation road water partly_cloudy primary clear cultivation
file_10348,agriculture habitation road primary clear
file_10349,primary clear
file_1035,agriculture road partly_cloudy primary clear cultivation
file_10350,agriculture habitation road water primary clear cultivation
file_10351,agriculture habitation road partly_cloudy primary cultivation
file_10352,primary clear
file_10353,primary clear
file_10354,haze primary clear
file_10355,primary clear
file_10356,primary clear
file_10357,artisinal_mine agriculture habitation road water primary clear cultivation
file_10358,primary clear
file_10359,agriculture road water primary clear cultivation
file_1036,agriculture habitation road partly_cloudy primary clear cultivation
file_10360,agriculture habitation road primary clear cultivation
file_10361,agriculture road water haze primary clear
file_10362,agriculture habitation road water partly_cloudy primary clear
file_10363,agriculture water primary clear
file_10364,agriculture habitation road water primary clear
file_10365,cloudy water haze primary clear
file_10366,primary clear
file_10367,primary clear
file_10368,agriculture road primary clear cultivation
file_10369,primary clear
file_1037,agriculture habitation road primary clear cultivation
file_10370,haze primary clear
file_10371,agriculture road water haze partly_cloudy primary clear cultivation
file_10372,agriculture water haze primary clear
file_10373,agriculture habitation road water partly_cloudy primary clear cultivation
file_10374,primary clear
file_10375,cloudy agriculture partly_cloudy primary
file_10376,agriculture habitation road water primary clear
file_10377,agriculture habitation road water primary clear
file_10378,primary clear
file_10379,partly_cloudy primary
file_1038,agriculture habitation road partly_cloudy primary clear
file_10380,primary clear
file_10381,primary clear
file_10382,primary clear
file_10383,agriculture road water haze primary clear
file_10384,agriculture road water primary clear
file_10385,agriculture habitation road primary clear cultivation
file_10386,agriculture habitation road primary clear cultivation
file_10387,agriculture habitation road primary clear
file_10388,partly_cloudy primary
file_10389,primary clear
file_1039,primary clear
file_10390,primary clear
file_10391,agriculture habitation road primary clear
file_10392,agriculture habitation road water partly_cloudy primary clear cultivation
file_10393,primary clear
file_10394,agriculture habitation road water primary clear
file_10395,agriculture road water partly_cloudy primary
file_10396,primary clear
file_10397,agriculture habitation road water primary clear cultivation
file_10398,primary clear
file_10399,agriculture road haze partly_cloudy primary clear cultivation
file_104,agriculture road haze partly_cloudy primary
file_1040,agriculture habitation road water primary clear cultivation
file_10400,agriculture road water partly_cloudy primary clear
file_10401,agriculture partly_cloudy primary
file_10402,primary clear
file_10403,primary clear
file_10404,partly_cloudy primary
file_10405,agriculture partly_cloudy primary clear cultivation
file_10406,primary clear
file_10407,primary clear
file_10408,primary clear
file_10409,agriculture road partly_cloudy primary clear cultivation
file_1041,agriculture road partly_cloudy primary cultivation
file_10410,primary clear
file_10411,primary clear
file_10412,primary clear
file_10413,agriculture habitation road partly_cloudy primary clear cultivation
file_10414,agriculture habitation road water partly_cloudy primary clear cultivation
file_10415,partly_cloudy primary clear
file_10416,agriculture habitation road primary clear
file_10417,agriculture partly_cloudy primary
file_10418,primary clear
file_10419,primary clear
file_1042,agriculture habitation road primary clear cultivation
file_10420,primary clear
file_10421,agriculture partly_cloudy primary clear
file_10422,agriculture habitation road primary clear
file_10423,agriculture water haze partly_cloudy primary clear
file_10424,cloudy
file_10425,agriculture road water primary clear cultivation
file_10426,primary clear
file_10427,agriculture habitation road partly_cloudy primary clear cultivation
file_10428,agriculture habitation road primary clear cultivation
file_10429,partly_cloudy primary clear
file_1043,haze primary clear
file_10430,cloudy agriculture water partly_cloudy primary
file_10431,primary clear
file_10432,cloudy haze primary
file_10433,agriculture partly_cloudy primary clear cultivation
file_10434,agriculture habitation road water partly_cloudy primary clear cultivation
file_10435,agriculture habitation road primary clear cultivation
file_10436,agriculture road water partly_cloudy primary clear cultivation
file_10437,agriculture road partly_cloudy primary clear cultivation
file_10438,agriculture road partly_cloudy primary clear cultivation
file_10439,agriculture habitation road primary clear
file_1044,primary clear
file_10440,agriculture road haze partly_cloudy primary clear
file_10441,partly_cloudy primary clear
file_10442,haze primary clear
file_10443,partly_cloudy primary
file_10444,primary clear
file_10445,partly_cloudy primary
file_10446,agriculture habitation road water primary clear
file_10447,primary clear
file_10448,agriculture habitation road partly_cloudy primary clear cultivation
file_10449,agriculture road water primary clear
file_1045,primary clear
file_10450,agriculture road primary clear cultivation
file_10451,haze primary clear
file_10452,primary clear
file_10453,primary clear
file_10454,agriculture haze primary clear
file_10455,agriculture road water primary clear
file_10456,primary clear
file_10457,primary clear
file_10458,primary clear
file_10459,partly_cloudy primary clear
file_1046,agriculture water primary clear
file_10460,primary clear
file_10461,water primary clear
file_10462,selective_logging agriculture primary clear cultivation
file_10463,cloudy haze primary
file_10464,primary clear
file_10465,primary clear
file_10466,agriculture partly_cloudy primary cultivation
file_10467,agriculture habitation road primary clear
file_10468,primary clear
file_10469,water primary clear
file_1047,primary clear
file_10470,partly_cloudy primary
file_10471,primary clear
file_10472,haze primary clear
file_10473,primary clear
file_10474,primary clear
file_10475,partly_cloudy primary clear
file_10476,primary clear
file_10477,agriculture habitation road primary clear cultivation
file_10478,primary clear
file_10479,partly_cloudy primary
file_1048,primary clear
file_10480,agriculture road water haze partly_cloudy primary clear cultivation
file_10481,agriculture partly_cloudy primary
file_10482,agriculture partly_cloudy primary
file_10483,primary clear
file_10484,haze primary clear
file_10485,primary clear
file_10486,agriculture habitation road water partly_cloudy primary clear cultivation
file_10487,agriculture road water primary clear
file_10488,haze primary clear
file_10489,haze primary clear
file_1049,agriculture road water partly_cloudy primary clear
file_10490,agriculture road partly_cloudy primary clear cultivation
file_10491,primary clear
file_10492,partly_cloudy primary clear cultivation
file_10493,agriculture habitation road primary clear cultivation
file_10494,agriculture habitation road water primary clear cultivation
file_10495,agriculture road water primary clear
file_10496,primary clear
file_10497,agriculture primary clear cultivation
file_10498,agriculture haze primary clear
file_10499,primary clear
file_105,cloudy
file_1050,primary clear
file_10500,primary clear
file_10501,partly_cloudy primary
file_10502,primary clear
file_10503,agriculture water haze primary clear
file_10504,agriculture water primary clear cultivation
file_10505,primary clear
file_10506,agriculture habitation road water primary clear cultivation
file_10507,primary clear
file_10508,cloudy haze primary
file_10509,agriculture habitation road water primary clear
file_1051,agriculture habitation road primary clear cultivation
file_10510,agriculture habitation road water primary clear
file_10511,partly_cloudy primary clear
file_10512,partly_cloudy primary
file_10513,agriculture road primary clear cultivation
file_10514,agriculture road water primary clear
file_10515,primary clear
file_10516,primary clear
file_10517,agriculture road water primary clear cultivation
file_10518,cloudy haze primary
file_10519,primary clear
file_1052,agriculture habitation road primary clear cultivation
file_10520,primary clear
file_10521,agriculture road water primary clear
file_10522,primary clear
file_10523,agriculture primary clear cultivation
file_10524,primary clear
file_10525,agriculture habitation road primary clear
file_10526,partly_cloudy primary
file_10527,partly_cloudy primary clear
file_10528,haze primary clear
file_10529,primary clear
file_1053,cloudy haze primary
file_10530,partly_cloudy primary
file_10531,agriculture habitation road primary clear cultivation
file_10532,primary clear
file_10533,road water primary clear
file_10534,cloudy agriculture water partly_cloudy primary
file_10535,agriculture road water primary clear
file_10536,agriculture habitation road primary clear cultivation
file_10537,agriculture road primary clear cultivation
file_10538,primary clear
file_10539,partly_cloudy primary
file_1054,primary clear
file_10540,cloudy
file_10541,primary clear
file_10542,agriculture habitation road primary clear
file_10543,primary clear
file_10544,agriculture water primary clear
file_10545,primary clear
file_10546,agriculture water primary clear
file_10547,agriculture habitation road partly_cloudy primary
file_10548,primary clear
file_10549,haze primary
file_1055,agriculture habitation road primary clear cultivation
file_10550,agriculture partly_cloudy primary
file_10551,primary clear
file_10552,primary clear
file_10553,agriculture primary clear cultivation
file_10554,cloudy
file_10555,primary clear
file_10556,agriculture habitation road water primary clear
file_10557,partly_cloudy primary
file_10558,agriculture haze partly_cloudy primary clear
file_10559,primary clear
file_1056,road water primary clear
file_10560,agriculture road primary clear cultivation
file_10561,agriculture partly_cloudy primary clear cultivation
file_10562,primary clear
file_10563,primary clear
file_10564,agriculture habitation road water partly_cloudy primary clear cultivation
file_10565,agriculture habitation road water primary clear cultivation
file_10566,agriculture habitation road water primary clear
file_10567,primary clear
file_10568,primary clear
file_10569,primary clear
file_1057,haze primary
file_10570,primary clear
file_10571,agriculture partly_cloudy primary clear cultivation
file_10572,agriculture habitation road water primary clear
file_10573,agriculture habitation road water primary clear cultivation
file_10574,primary clear
file_10575,agriculture habitation road water primary clear cultivation
file_10576,agriculture partly_cloudy primary clear cultivation
file_10577,agriculture habitation road partly_cloudy primary clear cultivation
file_10578,agriculture habitation road water partly_cloudy primary clear
file_10579,haze primary clear
file_1058,agriculture primary clear cultivation
file_10580,agriculture road water primary clear
file_10581,primary clear
file_10582,agriculture habitation road primary clear cultivation
file_10583,haze primary clear
file_10584,cloudy water primary clear
file_10585,haze primary
file_10586,agriculture habitation road partly_cloudy primary clear cultivation
file_10587,agriculture habitation road primary clear cultivation
file_10588,primary clear
file_10589,primary clear
file_1059,agriculture habitation road primary clear
file_10590,agriculture habitation road partly_cloudy primary clear cultivation
file_10591,agriculture habitation road water primary clear cultivation
file_10592,primary clear
file_10593,agriculture habitation road water primary clear cultivation
file_10594,agriculture habitation road primary clear
file_10595,agriculture haze primary clear
file_10596,agriculture habitation road primary clear cultivation
file_10597,primary clear
file_10598,haze primary clear
file_10599,agriculture haze primary clear
file_106,primary clear
file_1060,cloudy
file_10600,agriculture partly_cloudy primary
file_10601,agriculture habitation road water primary clear
file_10602,agriculture habitation road primary clear
file_10603,agriculture habitation road primary clear cultivation
file_10604,primary clear
file_10605,primary clear
file_10606,primary clear
file_10607,agriculture partly_cloudy primary cultivation
file_10608,agriculture habitation road water primary clear
file_10609,primary clear
file_1061,primary clear
file_10610,agriculture road water primary clear cultivation
file_10611,agriculture habitation road water partly_cloudy primary clear cultivation
file_10612,primary clear
file_10613,agriculture habitation road primary clear cultivation
file_10614,agriculture road primary clear cultivation
file_10615,agriculture partly_cloudy primary clear cultivation
file_10616,agriculture habitation road water partly_cloudy primary clear cultivation
file_10617,agriculture road water partly_cloudy primary clear
file_10618,agriculture partly_cloudy primary clear
file_10619,primary clear
file_1062,agriculture habitation road partly_cloudy primary clear cultivation
file_10620,primary clear
file_10621,water haze primary clear
file_10622,primary clear
file_10623,agriculture primary clear cultivation
file_10624,primary clear
file_10625,agriculture habitation road primary clear
file_10626,agriculture haze primary clear
file_10627,agriculture habitation road water primary clear
file_10628,agriculture road water primary clear cultivation
file_10629,agriculture road water partly_cloudy primary clear
file_1063,agriculture habitation road water primary clear cultivation
file_10630,agriculture partly_cloudy primary clear cultivation
file_10631,agriculture habitation road partly_cloudy primary clear cultivation
file_10632,partly_cloudy primary
file_10633,agriculture partly_cloudy primary
file_10634,agriculture habitation road primary clear
file_10635,agriculture partly_cloudy primary
file_10636,primary clear
file_10637,agriculture habitation road water primary clear
file_10638,primary clear
file_10639,primary clear
file_1064,partly_cloudy primary
file_10640,primary clear
file_10641,primary clear
file_10642,primary clear
file_10643,primary clear
file_10644,primary clear
file_10645,partly_cloudy primary
file_10646,agriculture haze primary
file_10647,partly_cloudy primary
file_10648,agriculture habitation road water primary clear cultivation
file_10649,agriculture habitation road primary clear
file_1065,primary clear
file_10650,agriculture road water partly_cloudy primary clear
file_10651,agriculture habitation road primary clear cultivation
file_10652,agriculture habitation road water primary clear cultivation
file_10653,primary clear
file_10654,primary clear
file_10655,partly_cloudy primary clear
file_10656,primary clear
file_10657,agriculture habitation road partly_cloudy primary clear cultivation
file_10658,cloudy haze primary
file_10659,agriculture primary clear cultivation
file_1066,primary clear
file_10660,agriculture primary clear cultivation
file_10661,primary clear
file_10662,agriculture habitation road primary clear cultivation
file_10663,cloudy haze primary
file_10664,agriculture road primary clear
file_10665,agriculture habitation road water partly_cloudy primary clear
file_10666,partly_cloudy primary
file_10667,primary clear
file_10668,partly_cloudy primary
file_10669,agriculture habitation road primary clear
file_1067,partly_cloudy primary clear
file_10670,agriculture water primary clear
file_10671,agriculture road water primary clear cultivation
file_10672,haze primary clear
file_10673,primary clear
file_10674,primary clear
file_10675,haze primary clear
file_10676,water primary clear
file_10677,agriculture road water primary clear cultivation
file_10678,cloudy haze primary
file_10679,primary clear
file_1068,primary clear
file_10680,agriculture habitation road water primary clear cultivation
file_10681,agriculture water primary clear
file_10682,partly_cloudy primary
file_10683,agriculture partly_cloudy primary cultivation
file_10684,primary clear
file_10685,partly_cloudy primary
file_10686,primary clear
file_10687,agriculture habitation road water partly_cloudy primary clear cultivation
file_10688,primary clear
file_10689,primary clear
file_1069,primary clear
file_10690,agriculture road water primary clear
file_10691,agriculture habitation road water primary clear cultivation
file_10692,agriculture road water primary clear
file_10693,haze primary clear
file_10694,primary clear
file_10695,primary clear
file_10696,agriculture partly_cloudy primary clear
file_10697,agriculture habitation road water primary clear
file_10698,primary clear
file_10699,primary clear
file_107,primary clear
file_1070,agriculture partly_cloudy primary clear cultivation
file_10700,partly_cloudy primary
file_10701,agriculture habitation road primary clear cultivation
file_10702,agriculture road water primary clear cultivation
file_10703,agriculture partly_cloudy primary clear cultivation
file_10704,agriculture primary clear
file_10705,agriculture habitation road primary clear
file_10706,partly_cloudy primary
file_10707,selective_logging agriculture habitation road primary clear cultivation
file_10708,agriculture habitation road water primary clear cultivation
file_10709,agriculture road water partly_cloudy primary
file_1071,primary clear
file_10710,artisinal_mine agriculture habitation road water primary clear cultivation
file_10711,primary clear
file_10712,cloudy haze primary
file_10713,cloudy water clear
file_10714,primary clear
file_10715,primary clear
file_10716,primary clear
file_10717,partly_cloudy primary
file_10718,agriculture habitation road primary clear
file_10719,agriculture partly_cloudy primary clear
file_1072,primary clear
file_10720,cloudy haze primary
file_10721,agriculture primary clear cultivation
file_10722,haze primary
file_10723,agriculture partly_cloudy primary clear cultivation
file_10724,cloudy haze primary
file_10725,primary clear
file_10726,primary clear
file_10727,primary clear
file_10728,agriculture partly_cloudy primary clear
file_10729,agriculture primary clear cultivation
file_1073,agriculture partly_cloudy primary
file_10730,primary clear
file_10731,agriculture habitation road water partly_cloudy primary clear cultivation
file_10732,partly_cloudy primary
file_10733,agriculture primary clear cultivation
file_10734,primary clear
file_10735,selective_logging agriculture primary clear cultivation
file_10736,agriculture habitation road water partly_cloudy primary
file_10737,agriculture primary clear cultivation
file_10738,primary clear
file_10739,agriculture partly_cloudy primary clear cultivation
file_1074,primary clear
file_10740,agriculture habitation road primary clear cultivation
file_10741,haze primary
file_10742,primary clear
file_10743,agriculture habitation road primary clear
file_10744,primary clear
file_10745,agriculture haze primary clear
file_10746,primary clear
file_10747,primary clear
file_10748,agriculture road partly_cloudy primary clear cultivation
file_10749,agriculture habitation road primary clear cultivation
file_1075,agriculture habitation road water partly_cloudy primary clear
file_10750,agriculture road partly_cloudy primary clear cultivation
file_10751,haze primary clear
file_10752,cloudy haze primary
file_10753,agriculture road water primary clear
file_10754,agriculture haze partly_cloudy primary
file_10755,primary clear
file_10756,partly_cloudy primary clear
file_10757,partly_cloudy primary
file_10758,agriculture road water primary clear
file_10759,primary clear
file_1076,primary clear
file_10760,cloudy water primary clear
file_10761,selective_logging agriculture road water primary clear cultivation
file_10762,agriculture road primary clear cultivation
file_10763,agriculture road water partly_cloudy primary
file_10764,agriculture habitation road water primary clear
file_10765,haze primary clear
file_10766,primary clear
file_10767,agriculture road water primary clear
file_10768,haze primary clear
file_10769,agriculture road partly_cloudy primary clear cultivation
file_1077,primary clear
